game_key,app_id,title,issue_type,issue_description,recommended_exclusion_flag
6ba4af358440,,Company of Heroes,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
8d5dbb710285,,Grand Theft Auto: San Andreas,Missing reference price,Revenue scenario cannot be calculated,1
8d5dbb710285,,Grand Theft Auto: San Andreas,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
9e5dc0fc17c9,,Half-Life: Alyx,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
2b7e087cb42b,,God of War,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
3cc262dce7e3,,Hades,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
5d016f406ae9,,Baldur's Gate 3,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
eb4f6d95d13b,,Divinity: Original Sin - Enhanced Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
6e741f31b6aa,,Red Dead Redemption 2,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
9d6f08a979a3,,Divinity: Original Sin 2 - Definitive Edition,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
9d6f08a979a3,,Divinity: Original Sin 2 - Definitive Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
5b39a7c463e3,,Resident Evil Requiem,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
5b39a7c463e3,,Resident Evil Requiem,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
559989f38173,,Blue Prince,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
6b19cb3a7fe1,,Okami HD,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
c65341c0d7f2,,Metaphor: ReFantazio,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
4e796592e06c,,Street Fighter 6,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
80f6c2cf3190,,UFO 50,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
90f9c505c334,,Caves of Qud,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
15e7be4d53ae,,Mark of the Ninja,Release date anomaly,Observed release year 1987,1
15e7be4d53ae,,Mark of the Ninja,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
1db669c01ded,,Batman: Arkham Asylum GOTY Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
559371a57f1f,,Batman: Arkham City - Game of the Year Edition,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
c77582dfec22,,Dishonored,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
8fa20336a6f6,,METAL GEAR SOLID V: THE PHANTOM PAIN,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
e1d80bb6fba0,,Resident Evil 4,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
7124818ef795,,Satisfactory,Missing app_id in curated sample,Use the included scraper for refreshable app_id records,0
fcd9a9090ca8,,Mission: It's Complicated,Low-owner estimate,SteamSpy estimates are less reliable for small/new titles,0
