game_key,app_id,title,genre,genre_count_observed,genre_weight_observed,source_rank,attributed_revenue_base,inclusive_revenue_base,commercial_success_flag,source_url,observed_price_usd,owners_range_observed,score_percent_observed,owners_midpoint
41f66249ffc7,,ELDEN RING,RPG,2,0.5,11,629895000,1259790000,1,https://steamspy.com/genre/RPG,59.99,"20,000,000 .. 50,000,000",0.94,35000000
2b7e087cb42b,,God of War,RPG,3,0.3333333333333333,12,74985000,224955000,1,https://steamspy.com/genre/RPG,49.99,"5,000,000 .. 10,000,000",0.93,7500000
3cc262dce7e3,,Hades,RPG,3,0.3333333333333333,13,37484999.99999999,112454999.99999999,1,https://steamspy.com/genre/RPG,24.99,"5,000,000 .. 10,000,000",0.93,7500000
80f6c2cf3190,,UFO 50,RPG,4,0.25,21,562274.9999999999,2249099.9999999995,1,https://steamspy.com/genre/RPG,24.99,"100,000 .. 200,000",0.91,150000
30808097eaa2,,Chained Echoes,RPG,2,0.5,22,2623949.9999999995,5247899.999999999,1,https://steamspy.com/genre/RPG,24.99,"200,000 .. 500,000",0.91,350000
695cd1a3f9e7,,Dragon Age: Origins,RPG,1,1,23,13495500,13495500,1,https://steamspy.com/genre/RPG,29.99,"500,000 .. 1,000,000",0.91,750000
90f9c505c334,,Caves of Qud,RPG,4,0.25,24,1574475,6297900,1,https://steamspy.com/genre/RPG,29.99,"200,000 .. 500,000",0.91,350000
29416f5449da,,Deus Ex: Human Revolution - Director's Cut,RPG,1,1,25,119939.99999999999,119939.99999999999,0,https://steamspy.com/genre/RPG,19.99,"0 .. 20,000",0.91,10000
a6c74d6dd672,,Fallout 3,RPG,1,1,26,8991000,8991000,1,https://steamspy.com/genre/RPG,9.99,"1,000,000 .. 2,000,000",0.91,1500000
b03c45c248f5,,Dragon Age: Origins - Ultimate Edition,RPG,1,1,27,26991000,26991000,1,https://steamspy.com/genre/RPG,29.99,"1,000,000 .. 2,000,000",0.91,1500000
51ee226f5524,,DARK SOULS II,RPG,1,1,28,17995500,17995500,1,https://steamspy.com/genre/RPG,39.99,"500,000 .. 1,000,000",0.91,750000
444521b1358c,,Fallout 3: Game of the Year Edition,RPG,1,1,29,13839000,13839000,1,https://steamspy.com/genre/RPG,6.59,"2,000,000 .. 5,000,000",0.91,3500000
0a3360d1fa59,,Clair Obscur: Expedition 33,RPG,1,1,30,83979000,83979000,1,https://steamspy.com/genre/RPG,39.99,"2,000,000 .. 5,000,000",0.91,3500000
f1304bc9a869,,Crusader Kings III,RPG,2,0.5,31,149970,299940,0,https://steamspy.com/genre/RPG,14.99,"0 .. 20,000",0.91,10000
5d7bca7be478,,Chicory: A Colorful Tale,RPG,1,1,32,2097900,2097900,1,https://steamspy.com/genre/RPG,9.99,"200,000 .. 500,000",0.9,350000
385e6fffc5df,,Shin Megami Tensei V: Vengeance,RPG,1,1,33,12597900,12597900,1,https://steamspy.com/genre/RPG,59.99,"200,000 .. 500,000",0.9,350000
82d7cb86bb3b,,Into the Breach,RPG,4,0.25,34,3372750,13491000,1,https://steamspy.com/genre/RPG,14.99,"1,000,000 .. 2,000,000",0.9,1500000
2ad6353d5453,,Guild Wars 2,RPG,1,1,35,0,0,0,https://steamspy.com/genre/RPG,0,"2,000,000 .. 5,000,000",0.9,3500000
13a4a14f384a,,Slay the Princess - The Pristine Cut,RPG,3,0.3333333333333333,36,2698499.9999999995,8095499.999999999,1,https://steamspy.com/genre/RPG,17.99,"500,000 .. 1,000,000",0.9,750000
66cdd0fd7bed,,God of War Ragnarök,RPG,1,1,37,53991000,53991000,1,https://steamspy.com/genre/RPG,59.99,"1,000,000 .. 2,000,000",0.9,1500000
71b365a0e087,,DAVE THE DIVER,RPG,2,0.5,38,44977499.99999999,89954999.99999999,1,https://steamspy.com/genre/RPG,19.99,"5,000,000 .. 10,000,000",0.9,7500000
60a4454144da,,Dwarf Fortress,Simulation,2,0.5,1,31489500,62979000,1,https://steamspy.com/genre/Simulation,29.99,"2,000,000 .. 5,000,000",0.93,3500000
b1165a838c4e,,Out of the Park Baseball 17,Simulation,4,0.25,2,0,,,https://steamspy.com/genre/Simulation,,"50,000 .. 100,000",0.92,75000
c5fb926edbe9,,The Sims Legacy Collection,Simulation,1,1,3,209790,209790,0,https://steamspy.com/genre/Simulation,9.99,"20,000 .. 50,000",0.92,35000
e66789fba8f5,,Thief Gold,Simulation,1,1,4,783000,783000,0,https://steamspy.com/genre/Simulation,1.74,"500,000 .. 1,000,000",0.92,750000
c541207bce7a,,I Was a Teenage Exocolonist,Simulation,2,0.5,5,2623949.9999999995,5247899.999999999,1,https://steamspy.com/genre/Simulation,24.99,"200,000 .. 500,000",0.91,350000
64a1beaba2e3,,Against the Storm,Simulation,1,1,6,4045500,4045500,1,https://steamspy.com/genre/Simulation,8.99,"500,000 .. 1,000,000",0.91,750000
075c1b7a817f,,Microsoft Flight Simulator 40th Anniversary Edition,Simulation,1,1,7,125979000,125979000,1,https://steamspy.com/genre/Simulation,59.99,"2,000,000 .. 5,000,000",0.91,3500000
7124818ef795,,Satisfactory,Simulation,3,0.3333333333333333,8,83969999.99999997,251909999.99999994,1,https://steamspy.com/genre/Simulation,27.99,"10,000,000 .. 20,000,000",0.91,15000000
f1304bc9a869,,Crusader Kings III,Simulation,2,0.5,9,149970,299940,0,https://steamspy.com/genre/Simulation,49.99,"0 .. 20,000",0.91,10000
c94981f7a947,,VIDEOVERSE,Simulation,2,0.5,10,38970,77940,0,https://steamspy.com/genre/Simulation,12.99,"0 .. 20,000",0.9,10000
afe22891669c,,The Sims 2 Legacy Collection,Simulation,1,1,11,1349550,1349550,1,https://steamspy.com/genre/Simulation,29.99,"50,000 .. 100,000",0.9,75000
2bf2de8e1fe9,,Silent Hunter III,Simulation,1,1,12,2097900,2097900,1,https://steamspy.com/genre/Simulation,9.99,"200,000 .. 500,000",0.9,350000
d56d305b2dea,,Opus Magnum,Simulation,1,1,13,4197899.999999999,4197899.999999999,1,https://steamspy.com/genre/Simulation,19.99,"200,000 .. 500,000",0.9,350000
82d7cb86bb3b,,Into the Breach,Simulation,4,0.25,14,3372750,13491000,1,https://steamspy.com/genre/Simulation,14.99,"1,000,000 .. 2,000,000",0.9,1500000
13a4a14f384a,,Slay the Princess - The Pristine Cut,Simulation,3,0.3333333333333333,15,2698499.9999999995,8095499.999999999,1,https://steamspy.com/genre/Simulation,17.99,"500,000 .. 1,000,000",0.9,750000
71b365a0e087,,DAVE THE DIVER,Simulation,2,0.5,16,44977499.99999999,89954999.99999999,1,https://steamspy.com/genre/Simulation,19.99,"5,000,000 .. 10,000,000",0.9,7500000
dff6ee721b78,,Factorio,Simulation,3,0.3333333333333333,17,52500000,157500000,1,https://steamspy.com/genre/Simulation,35,"5,000,000 .. 10,000,000",0.9,7500000
7c867bb864db,,I Expect You To Die 3: Cog in the Machine,Simulation,1,1,18,1124549.9999999998,1124549.9999999998,1,https://steamspy.com/genre/Simulation,24.99,"50,000 .. 100,000",0.89,75000
