game_key,app_id,title,owners_min,owners_max,owners_midpoint,reference_price_usd,effective_price_low,effective_price_base,effective_price_high,revenue_low,revenue_base,revenue_high,success_threshold_revenue,commercial_success_flag,confidence_tier,estimated_profit_proxy
2e31c0394006,,Sid Meier's Civilization III Complete,1000000,2000000,1500000,0.99,0.396,0.594,0.792,594000,891000,1188000,1000000,0,Higher,391000
c40260ae2e82,,Sid Meier's Civilization IV,1000000,2000000,1500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,11994000,17990999.999999996,23988000,1000000,1,Higher,17490999.999999996
f5e1bbe568c2,,Sid Meier's Civilization V,0,20000,10000,29.99,11.996,17.994,23.992,119960,179940,239920,1000000,0,Low,-320060
2bf2de8e1fe9,,Silent Hunter III,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
13a4a14f384a,,Slay the Princess - The Pristine Cut,500000,1000000,750000,17.99,7.196,10.793999999999999,14.392,5397000,8095499.999999999,10794000,1000000,1,Higher,7595499.999999999
f6217fc6eb8f,,SpeedRunners,2000000,5000000,3500000,2.99,1.1960000000000002,1.794,2.3920000000000003,4186000.0000000005,6279000,8372000.000000001,1000000,1,Higher,5779000
07e675e3188c,,Spelunky,1000000,2000000,1500000,3.74,1.4960000000000002,2.244,2.9920000000000004,2244000.0000000005,3366000.0000000005,4488000.000000001,1000000,1,Higher,2866000.0000000005
7e1d9143d6e2,,Spelunky 2,1000000,2000000,1500000,6.99,2.7960000000000003,4.194,5.5920000000000005,4194000.0000000005,6291000,8388000.000000001,1000000,1,Higher,5791000
f16ef7000606,,Sprint Vector,20000,50000,35000,4.49,1.7960000000000003,2.694,3.5920000000000005,62860.00000000001,94290,125720.00000000001,1000000,0,Medium,-405710
2438617c3623,,Stardew Valley,20000000,50000000,35000000,14.99,5.996,8.994,11.992,209860000.00000003,314790000,419720000.00000006,1000000,1,Higher,314290000
4e796592e06c,,Street Fighter 6,2000000,5000000,3500000,39.99,15.996000000000002,23.994,31.992000000000004,55986000.00000001,83979000,111972000.00000001,1000000,1,Higher,83479000
f01cf2770dde,,Tadpole Treble,20000,50000,35000,4.99,1.9960000000000002,2.994,3.9920000000000004,69860.00000000001,104790.00000000001,139720.00000000003,1000000,0,Medium,-395210
4a56bafad301,,Tetris Effect: Connected,500000,1000000,750000,39.99,15.996000000000002,23.994,31.992000000000004,11997000.000000002,17995500,23994000.000000004,1000000,1,Higher,17495500
4a1e938ad4dd,,The Elder Scrolls IV: Oblivion GOTY Edition,2000000,5000000,3500000,14.99,5.996,8.994,11.992,20986000,31479000,41972000,1000000,1,Higher,30979000
ab219e16ab35,,The Elder Scrolls V: Skyrim,5000000,10000000,7500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,59970000,89954999.99999999,119940000,1000000,1,Higher,89454999.99999999
023e7df320d9,,The Longest Journey,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
afe22891669c,,The Sims 2 Legacy Collection,50000,100000,75000,29.99,11.996,17.994,23.992,899700,1349550,1799400,1000000,1,Higher,849550
c5fb926edbe9,,The Sims Legacy Collection,20000,50000,35000,9.99,3.9960000000000004,5.994,7.992000000000001,139860.00000000003,209790,279720.00000000006,1000000,0,Medium,-290210
e66789fba8f5,,Thief Gold,500000,1000000,750000,1.74,0.6960000000000001,1.044,1.3920000000000001,522000.00000000006,783000,1044000.0000000001,1000000,0,Higher,283000
6db943bdcaf4,,Total War: EMPIRE - Definitive Edition,1000000,2000000,1500000,4.99,1.9960000000000002,2.994,3.9920000000000004,2994000.0000000005,4491000,5988000.000000001,1000000,1,Higher,3991000
f5ff4a51392e,,TrainClicker,0,20000,10000,9.99,3.9960000000000004,5.994,7.992000000000001,39960.00000000001,59940,79920.00000000001,1000000,0,Low,-440060
2c373b6b0af8,,Tumblestone,100000,200000,150000,6.24,2.4960000000000004,3.7439999999999998,4.992000000000001,374400.00000000006,561600,748800.0000000001,1000000,0,Higher,61600
80f6c2cf3190,,UFO 50,100000,200000,150000,24.99,9.996,14.993999999999998,19.992,1499400,2249099.9999999995,2998800,1000000,1,Higher,1749099.9999999995
0e5c0be038be,,Undertale,5000000,10000000,7500000,2.49,0.9960000000000001,1.494,1.9920000000000002,7470000.000000001,11205000,14940000.000000002,1000000,1,Higher,10705000
2cc718eb3b30,,Unreal Tournament 2004: Editor's Choice Edition,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
c94981f7a947,,VIDEOVERSE,0,20000,10000,12.99,5.196000000000001,7.794,10.392000000000001,51960.00000000001,77940,103920.00000000001,1000000,0,Low,-422060
7b962ada5915,1091500,Cyberpunk 2077,20000000,50000000,35000000,59.99,23.996000000000002,35.994,47.992000000000004,839860000.0000001,1259790000,1679720000.0000002,1000000,1,Higher,1259290000
c171d77814b4,292030,The Witcher 3: Wild Hunt,20000000,50000000,35000000,39.99,15.996000000000002,23.994,31.992000000000004,559860000.0000001,839790000,1119720000.0000002,1000000,1,Higher,839290000
9c52a3598850,105600,Terraria,20000000,50000000,35000000,9.99,3.9960000000000004,5.994,7.992000000000001,139860000.00000003,209790000,279720000.00000006,1000000,1,Higher,209290000
4085787f7807,367520,Hollow Knight,5000000,10000000,7500000,14.99,5.996,8.994,11.992,44970000,67455000,89940000,1000000,1,Higher,66955000
419754bf79a1,588650,Dead Cells,5000000,10000000,7500000,24.99,9.996,14.993999999999998,19.992,74970000,112454999.99999999,149940000,1000000,1,Higher,111954999.99999999
75ba5b8b2826,504230,Celeste,2000000,5000000,3500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,27986000,41978999.99999999,55972000,1000000,1,Higher,41478999.99999999
cfb9841b3aa4,294100,RimWorld,5000000,10000000,7500000,34.99,13.996000000000002,20.994,27.992000000000004,104970000.00000001,157455000,209940000.00000003,1000000,1,Higher,156955000
679de5f22297,255710,Cities: Skylines,10000000,20000000,15000000,29.99,11.996,17.994,23.992,179940000,269910000,359880000,1000000,1,Higher,269410000
447c6801aa58,227300,Euro Truck Simulator 2,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
a7b34c28ebce,739630,Phasmophobia,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
543673e9f39f,1623730,Palworld,50000000,100000000,75000000,29.99,11.996,17.994,23.992,899700000,1349550000,1799400000,1000000,1,Higher,1349050000
9c2f2f3ee3ec,553850,HELLDIVERS 2,20000000,50000000,35000000,39.99,15.996000000000002,23.994,31.992000000000004,559860000.0000001,839790000,1119720000.0000002,1000000,1,Higher,839290000
51382098b4bd,275850,No Man's Sky,5000000,10000000,7500000,59.99,23.996000000000002,35.994,47.992000000000004,179970000.00000003,269955000,359940000.00000006,1000000,1,Higher,269455000
b2b936079bd2,814380,Sekiro: Shadows Die Twice - GOTY Edition,10000000,20000000,15000000,59.99,23.996000000000002,35.994,47.992000000000004,359940000.00000006,539910000,719880000.0000001,1000000,1,Higher,539410000
3d7a7f2e4363,374320,DARK SOULS III,5000000,10000000,7500000,59.99,23.996000000000002,35.994,47.992000000000004,179970000.00000003,269955000,359940000.00000006,1000000,1,Higher,269455000
57db119677f6,268910,Cuphead,5000000,10000000,7500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,59970000,89954999.99999999,119940000,1000000,1,Higher,89454999.99999999
7acae052b213,264710,Subnautica,5000000,10000000,7500000,29.99,11.996,17.994,23.992,89970000,134955000,179940000,1000000,1,Higher,134455000
a8ec0183b45c,892970,Valheim,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
2ed08276cee4,548430,Deep Rock Galactic,5000000,10000000,7500000,29.99,11.996,17.994,23.992,89970000,134955000,179940000,1000000,1,Higher,134455000
0454154dc9da,550,Left 4 Dead 2,50000000,100000000,75000000,9.99,3.9960000000000004,5.994,7.992000000000001,299700000.00000006,449550000,599400000.0000001,1000000,1,Higher,449050000
